release_speed,release_pos_x,release_pos_z,release_pos_y,launch_speed,effective_speed,release_spin_rate,release_extension,pitch_name
94.6,-1.29,4.96,53.98,70.3,95.0,2310,6.5,Sinker
88.4,-1.33,4.84,53.8,101.5,89.4,2248,6.7,Slider
95.3,-1.39,4.83,54.0,77.0,95.3,2419,6.5,4-Seam Fastball
94.9,-1.48,4.84,54.03,59.5,95.3,2324,6.5,Sinker
94.6,-1.47,4.85,54.0,75.0,94.6,2430,6.5,4-Seam Fastball
95.0,-1.54,4.88,54.09,72.1,94.8,2316,6.4,4-Seam Fastball
91.3,-1.4,4.7,53.9,92.5,91.5,1742,6.6,Changeup
90.4,-1.33,4.78,53.93,74.7,91.0,1701,6.6,Changeup
89.9,-1.33,4.74,53.91,82.0,90.5,1713,6.6,Changeup
95.0,-1.46,4.81,53.86,82.0,95.6,2317,6.6,Sinker
95.7,-1.25,4.82,53.88,80.8,96.0,2384,6.6,Sinker
95.6,-1.55,4.76,53.93,70.7,96.1,2253,6.6,Sinker
95.2,-1.18,4.69,53.83,76.7,95.9,2421,6.7,Sinker
85.2,-1.39,4.71,53.88,68.1,85.8,2606,6.6,Sweeper
94.9,-1.38,4.86,54.09,108.7,95.3,2312,6.4,4-Seam Fastball
95.7,-1.34,4.85,53.93,43.3,96.0,2200,6.6,Sinker
89.9,-1.46,4.87,53.96,62.1,91.2,2250,6.5,Slider
90.3,-1.42,4.77,53.9,82.6,90.8,2199,6.6,Changeup
94.8,-1.44,4.84,54.05,86.4,95.4,2321,6.5,4-Seam Fastball
93.5,-1.32,4.84,54.14,49.2,93.7,2339,6.4,Sinker
90.8,-1.37,4.67,53.88,89.6,91.2,2140,6.6,Changeup
95.6,-1.41,4.73,53.97,99.1,95.7,2416,6.5,Sinker
95.1,-1.42,4.85,54.11,84.7,95.5,2314,6.4,Sinker
94.6,-1.47,4.83,54.13,103.7,94.9,2322,6.4,4-Seam Fastball
95.6,-1.49,4.77,53.87,108.4,96.3,2340,6.6,Sinker
96.5,-1.58,4.8,53.97,91.4,96.5,2157,6.5,4-Seam Fastball
94.6,-1.57,4.79,54.04,91.6,95.0,2306,6.5,4-Seam Fastball
94.3,-1.33,4.74,53.96,106.4,94.7,2278,6.5,Sinker
89.2,-1.34,4.94,53.88,73.1,89.8,1563,6.6,Changeup
82.3,-1.39,5.02,54.23,96.3,82.0,2356,6.3,Sweeper
95.7,-1.23,4.95,53.9,96.0,96.1,2268,6.6,Sinker
89.8,-1.35,4.97,53.89,100.9,90.9,2334,6.6,Slider
95.7,-1.6,5.0,53.96,51.6,95.8,2195,6.5,4-Seam Fastball
94.8,-1.57,5.05,54.0,59.7,95.1,2156,6.5,Sinker
96.2,-1.45,4.97,53.95,78.3,96.4,2063,6.6,4-Seam Fastball
95.6,-1.35,5.02,54.03,75.4,95.7,2164,6.5,Sinker
95.1,-1.58,4.97,54.02,111.1,95.2,2238,6.5,4-Seam Fastball
95.0,-1.42,5.17,53.94,47.4,95.2,2107,6.6,4-Seam Fastball
89.7,-1.33,5.05,53.97,75.7,90.2,1653,6.5,Changeup
95.3,-1.47,5.08,53.9,75.0,95.8,2174,6.6,4-Seam Fastball
94.7,-1.59,5.13,53.95,71.5,95.0,2264,6.5,4-Seam Fastball
96.1,-1.46,4.95,53.94,87.8,96.4,2307,6.6,Sinker
95.6,-1.42,4.93,53.85,102.7,96.2,2308,6.6,Sinker
95.2,-1.37,5.1,53.93,73.9,95.5,2226,6.6,Sinker
88.7,-1.6,5.02,53.97,77.6,89.8,2160,6.5,Slider
95.6,-1.48,5.08,53.96,78.4,95.9,2251,6.5,4-Seam Fastball
89.5,-1.61,4.94,53.88,102.5,90.0,2221,6.6,Slider
95.9,-1.42,5.03,53.68,78.1,96.7,2225,6.8,4-Seam Fastball
89.5,-1.59,4.93,53.77,46.3,90.3,1857,6.7,Changeup
94.8,-1.75,4.98,53.79,28.8,95.3,2180,6.7,4-Seam Fastball
94.5,-1.58,4.97,53.89,100.8,95.0,2252,6.6,Sinker
86.8,-1.59,5.13,53.92,81.3,87.9,2183,6.6,Slider
94.8,-1.46,4.98,53.89,99.0,95.3,2213,6.6,Sinker
96.1,-1.59,5.06,53.85,79.6,96.9,2002,6.7,4-Seam Fastball
94.6,-1.56,4.87,53.89,36.0,95.4,2338,6.6,4-Seam Fastball
96.3,-1.58,5.05,53.85,88.4,97.1,2143,6.7,4-Seam Fastball
94.3,-1.66,5.08,53.79,74.0,94.8,2097,6.7,4-Seam Fastball
95.2,-1.56,5.11,53.89,71.4,95.6,2128,6.6,4-Seam Fastball
94.6,-1.58,5.04,53.96,93.7,95.0,2121,6.5,Sinker
94.7,-1.47,5.01,54.03,92.2,95.1,2293,6.5,Sinker
88.2,-1.58,4.93,54.09,105.7,88.7,2224,6.4,Slider
94.6,-1.54,4.84,54.09,88.3,94.9,2252,6.4,4-Seam Fastball
95.0,-1.56,5.0,54.16,79.3,95.4,2299,6.3,4-Seam Fastball
93.8,-1.3,4.91,54.07,87.9,94.7,2204,6.4,Sinker
95.9,-1.45,4.86,54.1,103.1,96.1,2228,6.4,4-Seam Fastball
87.5,-1.57,4.91,53.92,103.5,88.5,2192,6.6,Slider
94.4,-1.58,4.97,54.11,76.1,94.6,2339,6.4,4-Seam Fastball
95.5,-1.38,4.95,54.19,67.0,95.4,2368,6.3,4-Seam Fastball
92.7,-1.44,4.85,53.95,75.4,93.6,2295,6.6,Sinker
95.9,-1.51,4.96,54.1,80.4,96.1,2214,6.4,4-Seam Fastball
95.3,-1.54,4.96,54.05,63.7,96.2,1860,6.4,4-Seam Fastball
95.6,-1.52,4.88,53.99,88.6,96.1,2366,6.5,Sinker
95.0,-1.44,4.99,54.13,76.4,95.4,2189,6.4,Sinker
94.3,-1.59,4.92,54.04,97.2,95.2,2307,6.5,Sinker
95.0,-1.37,4.93,54.06,85.1,95.6,2304,6.4,Sinker
95.6,-1.45,4.97,53.9,98.0,96.2,2214,6.6,4-Seam Fastball
95.0,-1.37,4.96,53.96,75.5,95.2,2246,6.5,4-Seam Fastball
95.8,-1.41,4.85,53.81,74.6,96.6,2393,6.7,Sinker
95.3,-1.47,4.99,53.8,105.3,95.9,2310,6.7,4-Seam Fastball
95.7,-1.6,4.95,54.02,79.9,96.0,2356,6.5,4-Seam Fastball
89.8,-1.41,4.94,53.88,92.4,91.0,1599,6.6,Changeup
96.2,-1.45,4.96,53.96,98.1,96.9,2218,6.5,4-Seam Fastball
95.3,-1.54,4.89,53.98,86.8,96.0,2214,6.5,4-Seam Fastball
88.7,-1.59,4.99,53.94,93.7,89.5,2243,6.6,Slider
94.8,-1.39,5.08,53.89,73.0,95.3,2213,6.6,4-Seam Fastball
95.0,-1.6,4.98,53.94,73.1,95.6,2336,6.6,Sinker
95.4,-1.39,5.03,53.81,100.7,96.2,2326,6.7,Sinker
94.9,-1.6,4.91,53.95,85.5,95.6,2235,6.6,4-Seam Fastball
96.1,-1.44,5.03,54.13,77.9,95.8,2306,6.4,4-Seam Fastball
95.8,-1.31,4.97,53.94,100.3,96.3,2190,6.6,4-Seam Fastball
88.0,-1.35,4.98,53.97,69.4,89.0,2255,6.5,Slider
95.3,-1.18,4.98,54.01,100.3,95.2,2341,6.5,Sinker
96.5,-1.21,5.15,54.0,105.9,96.5,2241,6.5,4-Seam Fastball
96.7,-1.28,5.03,53.94,70.9,97.2,2263,6.6,4-Seam Fastball
95.9,-1.21,5.15,53.99,73.0,96.2,2211,6.5,4-Seam Fastball
90.9,-1.21,5.09,53.88,79.2,91.8,2295,6.6,Slider
95.8,-1.27,5.02,53.88,75.9,96.5,2285,6.6,Sinker
91.5,-1.28,4.97,53.65,82.2,92.7,1735,6.8,Changeup
91.4,-1.39,4.9,53.48,84.7,93.1,1680,7.0,Changeup
88.6,-1.3,5.02,53.95,103.5,89.2,2315,6.6,Slider
96.3,-1.32,5.09,53.98,84.5,96.4,2372,6.5,Sinker
96.6,-0.95,5.14,53.87,105.7,97.5,2375,6.6,Sinker
84.9,-1.44,5.15,53.89,48.8,85.5,2570,6.6,Sweeper
89.8,-1.19,5.18,53.92,72.2,90.6,2315,6.6,Slider
96.9,-1.25,5.25,53.9,88.4,97.1,2267,6.6,4-Seam Fastball
96.6,-1.21,5.28,53.95,69.1,97.0,2260,6.5,4-Seam Fastball
97.1,-1.3,5.2,53.82,73.5,97.6,2376,6.7,4-Seam Fastball
97.0,-1.14,5.25,53.91,81.7,97.7,2384,6.6,Sinker
96.2,-1.23,5.11,53.95,87.9,96.7,2236,6.6,4-Seam Fastball
95.9,-1.16,5.14,53.83,91.1,96.8,2325,6.7,Sinker
91.5,-1.11,4.96,53.79,88.6,92.5,1655,6.7,Changeup
96.1,-1.08,5.14,53.86,70.0,96.6,2345,6.6,Sinker
89.5,-1.36,5.05,53.9,85.3,90.6,2329,6.6,Slider
96.7,-1.32,4.98,53.79,94.5,97.3,2381,6.7,Sinker
95.9,-1.1,5.16,53.9,90.9,96.5,2241,6.6,Sinker
95.1,-1.34,5.12,53.98,100.4,95.7,2309,6.5,4-Seam Fastball
96.4,-1.39,5.03,53.87,80.1,97.1,2357,6.6,Sinker
96.6,-1.21,5.05,53.74,79.9,97.1,2340,6.8,Sinker
95.9,-1.24,5.11,53.78,91.7,96.1,2190,6.7,4-Seam Fastball
97.0,-1.26,5.11,53.92,48.1,97.4,2410,6.6,Sinker
96.9,-1.27,4.99,53.8,76.7,97.8,2237,6.7,4-Seam Fastball
96.8,-1.32,4.85,53.87,109.2,97.9,2335,6.6,Sinker
96.5,-1.14,4.92,53.79,88.7,97.2,2319,6.7,Sinker
97.4,-1.24,5.0,53.87,24.6,97.8,2430,6.6,Sinker
97.3,-1.33,5.09,53.92,86.3,97.4,2273,6.6,4-Seam Fastball
96.4,-1.35,5.05,53.92,62.2,96.9,2394,6.6,Sinker
97.2,-1.39,5.17,53.98,79.1,97.6,2294,6.5,4-Seam Fastball
96.4,-1.45,5.18,53.95,74.8,97.2,2336,6.6,Sinker
97.5,-1.57,5.08,53.94,100.2,98.3,2237,6.6,4-Seam Fastball
97.4,-1.23,5.17,53.87,81.4,98.2,2238,6.6,4-Seam Fastball
94.9,-1.4,5.19,54.06,91.9,94.7,2156,6.4,4-Seam Fastball
88.8,-1.13,5.32,54.11,73.3,88.7,2366,6.4,Slider
95.0,-1.12,5.3,54.06,83.2,94.7,2276,6.4,4-Seam Fastball
93.2,-1.36,5.17,54.12,89.4,92.8,2296,6.4,Sinker
94.9,-1.24,5.3,54.16,106.6,94.2,2255,6.3,Sinker
87.6,-1.26,5.22,54.09,67.9,87.6,2271,6.4,Slider
95.6,-1.2,5.26,54.09,75.7,95.3,2245,6.4,4-Seam Fastball
94.0,-1.45,5.07,54.11,70.6,93.7,2316,6.4,Sinker
93.9,-1.34,5.09,53.8,81.8,94.1,2267,6.7,Sinker
94.8,-1.2,5.24,53.95,96.2,94.9,2241,6.6,Sinker
94.3,-1.54,4.98,54.03,107.1,94.1,2352,6.5,Sinker
94.8,-1.32,5.15,54.04,101.4,94.6,2239,6.5,Sinker
95.0,-1.56,5.11,54.07,70.3,94.8,2300,6.4,Sinker
88.1,-1.29,5.21,53.94,84.6,88.7,2314,6.6,Slider
87.0,-1.33,5.28,53.92,94.9,87.1,2203,6.6,Slider
89.4,-1.54,5.03,54.04,98.2,89.1,2124,6.5,Changeup
86.4,-1.48,5.28,54.23,82.2,86.1,2144,6.3,Slider
95.5,-1.44,5.13,53.96,105.4,94.9,2219,6.5,4-Seam Fastball
94.9,-1.25,5.33,54.1,81.5,94.4,2291,6.4,Sinker
86.9,-1.25,5.19,53.74,78.3,87.6,2286,6.8,Slider
94.0,-1.41,5.18,54.31,66.3,93.1,2293,6.2,4-Seam Fastball
81.7,-1.41,5.25,53.99,76.5,81.3,2480,6.5,Sweeper
93.4,-1.38,5.22,53.78,90.2,94.1,2248,6.7,Sinker
93.7,-1.51,5.2,54.09,78.0,93.3,2236,6.4,4-Seam Fastball
85.5,-1.59,5.18,53.98,104.0,85.8,2113,6.5,Slider
94.1,-1.59,5.1,53.92,52.3,94.1,2326,6.6,Sinker
93.4,-1.53,5.04,54.05,73.0,92.8,2188,6.5,4-Seam Fastball
93.1,-1.4,5.09,54.03,55.8,92.8,2350,6.5,Sinker
94.9,-1.32,5.06,53.85,105.6,94.8,2287,6.7,Sinker
94.3,-1.36,5.32,54.01,88.4,94.0,2334,6.5,Sinker
94.6,-1.07,5.36,54.03,79.8,94.5,2182,6.5,4-Seam Fastball
89.2,-1.08,5.18,53.91,102.6,89.4,1585,6.6,Changeup
88.8,-1.16,5.16,53.89,100.5,88.8,2192,6.6,Slider
87.6,-1.14,5.18,53.98,109.9,87.9,2114,6.5,Slider
94.8,-1.24,5.27,53.94,70.0,95.2,2169,6.6,Sinker
95.4,-1.08,5.26,54.07,71.8,95.2,2302,6.4,Sinker
83.8,-1.3,5.19,53.95,75.2,83.6,2434,6.5,Sweeper
94.3,-1.28,5.13,53.97,79.5,94.4,2182,6.5,Sinker
95.4,-1.43,4.93,54.1,78.3,95.4,2017,6.4,4-Seam Fastball
94.9,-1.53,5.03,54.06,76.1,94.7,2167,6.4,4-Seam Fastball
88.0,-1.21,5.04,53.98,80.6,88.2,1638,6.5,Changeup
96.3,-1.3,5.12,53.89,84.9,96.8,2345,6.6,Sinker
95.0,-1.36,5.05,53.9,70.6,95.3,2178,6.6,Sinker
93.8,-1.46,5.0,53.93,34.3,93.8,2235,6.6,Sinker
95.1,-1.43,4.98,53.89,92.2,95.3,2167,6.6,4-Seam Fastball
88.5,-1.4,5.14,53.99,95.0,88.9,2227,6.5,Slider
94.7,-1.43,5.08,54.06,89.8,94.7,2189,6.4,4-Seam Fastball
84.2,-1.4,4.96,53.81,103.5,84.5,2398,6.7,Sweeper
89.5,-1.23,5.18,53.97,60.4,89.7,2243,6.5,Slider
95.2,-1.38,5.05,53.9,73.2,95.1,2142,6.6,4-Seam Fastball
90.0,-1.26,5.01,53.81,83.9,90.6,1617,6.7,Changeup
90.1,-1.27,5.17,53.93,102.2,90.5,2276,6.6,Slider
95.2,-1.47,5.07,53.99,92.9,94.9,2139,6.5,4-Seam Fastball
95.7,-1.47,5.09,54.07,85.9,95.4,2371,6.4,Sinker
96.5,-1.44,5.06,53.92,75.6,96.2,2201,6.6,4-Seam Fastball
96.6,-1.56,5.02,54.01,47.9,97.0,2294,6.5,4-Seam Fastball
96.8,-1.67,4.94,53.94,69.3,97.0,2100,6.6,4-Seam Fastball
84.5,-1.56,5.11,53.89,85.9,84.3,2492,6.6,Sweeper
94.3,-1.44,5.03,54.04,89.1,94.2,2239,6.5,4-Seam Fastball
95.8,-1.55,4.96,53.9,100.1,96.0,2161,6.6,4-Seam Fastball
84.6,-1.41,5.1,53.81,90.0,84.5,2428,6.7,Sweeper
94.6,-1.45,5.09,54.02,79.5,94.4,2367,6.5,Sinker
96.1,-1.62,5.08,54.03,91.3,95.6,2145,6.5,4-Seam Fastball
94.4,-1.29,5.11,54.0,61.0,94.2,2164,6.5,4-Seam Fastball
94.9,-1.36,5.03,53.97,87.5,94.9,2403,6.5,Sinker
88.5,-1.46,5.03,53.83,92.6,89.2,1592,6.7,Changeup
94.3,-1.48,5.08,54.1,76.2,93.8,1935,6.4,4-Seam Fastball
94.3,-1.55,5.05,53.96,76.0,94.3,2049,6.5,4-Seam Fastball
94.4,-1.35,5.13,53.89,68.5,94.2,2154,6.6,4-Seam Fastball
83.2,-1.34,5.06,54.0,103.4,83.5,2398,6.5,Sweeper
90.5,-1.42,4.96,53.84,99.6,91.0,1810,6.7,Changeup
89.0,-1.53,4.98,53.89,76.5,89.5,1748,6.6,Changeup
93.6,-1.32,5.09,54.1,100.2,93.6,2227,6.4,Sinker
95.9,-1.33,5.14,53.92,96.1,96.2,2283,6.6,4-Seam Fastball
95.4,-1.33,5.05,54.03,94.5,96.0,2345,6.5,Sinker
95.3,-1.26,5.23,54.08,82.3,95.6,2247,6.4,4-Seam Fastball
81.7,-1.51,5.1,53.89,68.1,82.4,2351,6.6,Sweeper
95.5,-1.41,5.05,54.12,76.8,95.5,2357,6.4,4-Seam Fastball
94.9,-1.53,5.03,54.07,79.5,95.0,2269,6.4,4-Seam Fastball
94.9,-1.4,5.09,54.09,62.0,94.9,2121,6.4,4-Seam Fastball
95.1,-1.48,5.06,53.97,90.9,95.2,2178,6.5,4-Seam Fastball
91.9,-1.31,5.09,54.06,104.3,91.9,2209,6.4,Changeup
90.0,-1.34,4.95,53.83,89.0,90.6,1687,6.7,Changeup
96.1,-1.27,5.16,53.99,98.2,96.2,2294,6.5,4-Seam Fastball
96.0,-1.36,5.06,53.98,76.7,95.9,2343,6.5,Sinker
95.4,-1.36,5.07,54.03,98.1,95.6,2189,6.5,4-Seam Fastball
80.4,-1.47,5.17,54.03,64.7,80.8,2298,6.5,Sweeper
95.9,-1.35,5.03,53.92,100.9,96.3,2246,6.6,Sinker
96.4,-1.41,5.06,53.84,74.2,96.9,2232,6.7,4-Seam Fastball
95.3,-1.53,4.97,53.88,86.6,96.0,2203,6.6,4-Seam Fastball
95.9,-1.43,5.07,53.93,64.1,96.2,2218,6.6,4-Seam Fastball
94.8,-1.4,5.0,54.05,77.7,95.1,2306,6.4,Sinker
97.6,-1.3,5.05,53.64,91.3,98.5,2394,6.9,Sinker
84.4,-1.61,4.95,53.84,70.2,84.9,2465,6.7,Sweeper
91.0,-1.55,4.81,53.74,45.5,91.7,2024,6.8,Changeup
95.9,-1.48,5.04,53.95,91.6,96.4,2298,6.5,4-Seam Fastball
95.2,-1.43,5.19,53.8,100.2,95.9,2206,6.7,4-Seam Fastball
95.9,-1.41,5.22,53.87,77.0,96.4,2259,6.6,4-Seam Fastball
95.3,-1.49,5.2,53.87,80.7,96.1,2191,6.6,4-Seam Fastball
94.6,-1.59,4.99,53.96,102.4,94.9,2292,6.5,Sinker
87.7,-1.34,5.1,53.92,100.2,88.3,2196,6.6,Slider
95.7,-1.52,4.93,53.81,87.6,96.0,2221,6.7,4-Seam Fastball
95.0,-1.47,5.0,54.03,76.3,95.0,2136,6.5,4-Seam Fastball
81.3,-1.5,5.09,54.05,76.4,81.2,2284,6.5,Sweeper
95.2,-1.43,5.19,54.04,74.6,94.8,2247,6.5,4-Seam Fastball
95.3,-1.31,5.15,54.04,67.5,95.0,2263,6.5,4-Seam Fastball
94.2,-1.32,5.2,53.81,78.5,93.9,2327,6.7,Sinker
